State,Average of Annual_Fuel_Consumed(L),,,,,,,,,,,,
Delhi,40878.74145,,,,,,,,,,,,
Gujarat,41610.52803,,,,,,,,,,,,
Karnataka,37014.07616,,,,,,,,,,,,
Maharashtra,43091.13994,,,,,,,,,,,,
Tamil Nadu,47123.77295,,,,,,,,,,,,
West Bengal,31423.35947,,,,,,,,,,,,
Grand Total,40190.26967,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Insight:,States like Maharashtra and Tamil Nadu show higher average fuel consumption compared to others.,,,,,,,,
